	55157
IGHD5-5	7
IGHD5OR15-5A	11
IGHD5OR15-5B	16
IGHD6-13	21
IGHD6-19	11
IGHD6-25	13
IGHD6-6	12
IGHD7-27	2
IGHE	65
IGHEP1	95
IGHEP2	26
IGHG1	106
IGHG2	72
IGHG3	110
IGHG4	92
IGHGP	66
IGHJ1	5
IGHJ1P	56
IGHJ2	4
IGHJ2P	2
IGHJ3	12
IGHJ3P	2
IGHJ4	8
IGHJ5	5
IGHJ6	20
IGHM	115
IGHMBP2	416
IGHV1-12	60
IGHV1-14	59
IGHV1-17	41
IGHV1-18	84
IGHV1-2	102
IGHV1-24	103
IGHV1-3	34
IGHV1-45	100
IGHV1-46	70
IGHV1-58	62
IGHV1-67	50
IGHV1-68	32
IGHV1-69	53
IGHV1-69-2	3
IGHV1-69D	17
IGHV1OR15-2	66
IGHV1OR15-4	6
IGHV1OR15-6	31
IGHV1OR15-9	44
IGHV1OR16-1	31
IGHV1OR16-2	8
IGHV1OR16-3	3
IGHV1OR16-4	2
IGHV1OR21-1	725
IGHV2-26	61
IGHV2-5	92
IGHV2-70	30
IGHV2-70D	11
IGHV2OR16-5	10
IGHV3-11	32
IGHV3-13	95
IGHV3-15	63
IGHV3-16	43
IGHV3-19	146
IGHV3-20	221
IGHV3-21	219
IGHV3-22	138
IGHV3-23	91
IGHV3-25	43
IGHV3-29	12
IGHV3-30	28
IGHV3-30-2	45
IGHV3-32	19
IGHV3-33	18
IGHV3-33-2	30
IGHV3-35	77
IGHV3-36	48
IGHV3-37	51
IGHV3-38	43
IGHV3-41	116
IGHV3-42	23
IGHV3-43	21
IGHV3-47	68
IGHV3-48	125
IGHV3-49	106
IGHV3-50	58
IGHV3-52	61
IGHV3-53	66
IGHV3-54	45
IGHV3-57	77
IGHV3-6	121
IGHV3-60	64
IGHV3-62	43
IGHV3-63	18
IGHV3-64	40
IGHV3-64D	3
IGHV3-65	23
IGHV3-66	49
IGHV3-69-1	8
IGHV3-7	188
IGHV3-71	79
IGHV3-72	147
IGHV3-73	92
IGHV3-74	93
IGHV3-75	31
IGHV3-76	26
IGHV3-79	47
IGHV3OR15-7	93
IGHV3OR16-10	3
IGHV3OR16-11	17
IGHV3OR16-12	6
IGHV3OR16-13	74
IGHV3OR16-15	32
IGHV3OR16-16	4
IGHV3OR16-6	55
IGHV3OR16-7	31
IGHV3OR16-8	19
IGHV3OR16-9	48
IGHV4-28	61
IGHV4-31	59
IGHV4-34	47
IGHV4-39	33
IGHV4-4	86
IGHV4-55	51
IGHV4-59	31
IGHV4-61	14
IGHV4-80	32
IGHV5-51	129
IGHV5-78	55
IGHV6-1	184
IGHV7-27	75
IGHV7-34-1	107
IGHV7-40	42
IGHV7-4-1	98
IGHV7-56	80
IGHV7-81	32
IGHV8-51-1	30
IGHVII-1-1	142
IGHVII-15-1	39
IGHVII-22-1	54
IGHVII-26-2	56
IGHVII-28-1	41
IGHVII-30-1	24
IGHVII-30-21	16
IGHVII-33-1	16
IGHVII-40-1	70
IGHVII-43-1	14
IGHVII-44-2	70
IGHVII-46-1	53
IGHVII-49-1	68
IGHVII-51-2	19
IGHVII-53-1	61
IGHVII-60-1	32
IGHVII-62-1	29
IGHVII-65-1	53
IGHVII-67-1	26
IGHVII-74-1	60
IGHVII-78-1	69
IGHVIII-11-1	37
IGHVIII-13-1	26
IGHVIII-16-1	38
IGHVIII-2-1	33
IGHVIII-22-2	74
IGHVIII-25-1	36
IGHVIII-26-1	58
IGHVIII-38-1	35
IGHVIII-44	6
IGHVIII-47-1	85
IGHVIII-5-1	54
IGHVIII-5-2	112
IGHVIII-67-2	22
IGHVIII-67-3	24
IGHVIII-67-4	41
IGHVIII-76-1	120
IGHVIII-82	46
IGHVIV-44-1	65
IGIP	87
IGKC	293
IGKJ1	250
IGKJ2	4
IGKJ3	3
IGKJ4	7
IGKJ5	16
IGKV1-12	37
IGKV1-13	52
IGKV1-16	55
IGKV1-17	30
IGKV1-22	16
IGKV1-27	34
IGKV1-32	6
IGKV1-33	5
IGKV1-35	17
IGKV1-37	20
IGKV1-39	2
IGKV1-5	152
IGKV1-6	115
IGKV1-8	89
IGKV1-9	68
IGKV1D-12	5
IGKV1D-13	38
IGKV1D-16	40
IGKV1D-17	88
IGKV1D-22	14
IGKV1D-27	47
IGKV1D-32	7
IGKV1D-33	17
IGKV1D-35	11
IGKV1D-37	19
IGKV1D-39	7
IGKV1D-42	114
IGKV1D-43	118
IGKV1D-8	51
IGKV1OR10-1	1708
IGKV1OR1-1	13
IGKV1OR-2	22
IGKV1OR2-1	5
IGKV1OR2-108	458
IGKV1OR2-11	3
IGKV1OR2-118	1155
IGKV1OR2-2	153
IGKV1OR22-1	381
IGKV1OR22-5	39
IGKV1OR2-3	93
IGKV1OR2-6	117
IGKV1OR2-9	36
IGKV1OR-3	1
IGKV1OR9-2	3
IGKV2-10	37
IGKV2-14	42
IGKV2-18	27
IGKV2-19	34
IGKV2-23	6
IGKV2-24	26
IGKV2-26	16
IGKV2-28	28
IGKV2-29	17
IGKV2-30	31
IGKV2-36	6
IGKV2-38	20
IGKV2-4	95
IGKV2-40	2
IGKV2D-10	38
IGKV2D-14	32
IGKV2D-18	20
IGKV2D-19	40
IGKV2D-23	17
IGKV2D-24	32
IGKV2D-26	37
IGKV2D-28	32
IGKV2D-29	13
IGKV2D-30	24
IGKV2D-36	1
IGKV2D-38	10
IGKV2D-40	880
IGKV2OR2-1	45
IGKV2OR2-2	21
IGKV2OR22-3	93
IGKV2OR22-4	101
IGKV2OR2-7D	134
IGKV3-11	50
IGKV3-15	28
IGKV3-20	62
IGKV3-25	27
IGKV3-31	6
IGKV3-34	5
IGKV3-7	79
IGKV3D-11	43
IGKV3D-15	32
IGKV3D-20	67
IGKV3D-25	25
IGKV3D-31	6
IGKV3D-34	8
IGKV3D-7	44
IGKV3OR22-2	99
IGKV3OR2-268	69
IGKV3OR2-5	31
IGKV4-1	427
IGKV5-2	1560
IGKV6-21	38
IGKV6D-21	37
IGKV6D-41	131
IGKV7-3	267
IGLC1	28
IGLC2	28
IGLC3	44
IGLC4	15
IGLC5	29
IGLC6	22
IGLC7	531
IGLCOR22-1	653
IGLCOR22-2	406
IGLJ1	62
IGLJ2	21
IGLJ3	8
IGLJ4	42
IGLJ5	34
IGLJ6	30
IGLJ7	23
IGLJCOR18	193
IGLL1	404
IGLL3P	203
IGLL4P	494
IGLL5	34
IGLON5	196
IGLV10-54	61
IGLV10-67	40
IGLV11-55	158
IGLV1-36	100
IGLV1-40	107
IGLV1-41	47
IGLV1-44	117
IGLV1-47	65
IGLV1-50	43
IGLV1-51	23
IGLV1-62	52
IGLV2-11	180
IGLV2-14	22
IGLV2-18	101
IGLV2-23	31
IGLV2-28	46
IGLV2-33	102
IGLV2-34	169
IGLV2-5	59
IGLV2-8	93
IGLV3-1	98
IGLV3-10	71
IGLV3-12	58
IGLV3-13	62
IGLV3-15	43
IGLV3-16	66
IGLV3-17	84
IGLV3-19	48
IGLV3-2	33
IGLV3-21	67
IGLV3-22	46
IGLV3-24	50
IGLV3-25	52
IGLV3-26	43
IGLV3-27	54
IGLV3-29	102
IGLV3-30	128
IGLV3-31	110
IGLV3-32	100
IGLV3-4	79
IGLV3-6	82
IGLV3-7	66
IGLV3-9	45
IGLV4-3	110
IGLV4-60	66
IGLV4-69	36
IGLV5-37	79
IGLV5-45	66
IGLV5-48	78
IGLV5-52	21
IGLV6-57	65
IGLV7-35	128
IGLV7-43	100
IGLV7-46	40
IGLV8-61	123
IGLV8OR8-1	510
IGLV9-49	62
IGLVI-20	51
IGLVI-38	59
IGLVI-42	31
IGLVI-56	67
IGLVI-63	78
IGLVI-68	47
IGLVI-70	298
IGLVIV-53	186
IGLVIV-59	100
IGLVIV-64	81
IGLVIV-65	69
IGLVIV-66-1	72
IGLVIVOR22-1	188
IGLVIVOR22-2	25
IGLVV-58	94
IGLVV-66	30
IGLVVI-22-1	47
IGLVVI-25-1	80
IGLVVII-41-1	56
IGSF1	831
IGSF10	124
IGSF11	3106
IGSF11-AS1	2437
IGSF21	397
IGSF21-AS1	11136
IGSF22	924
IGSF23	801
IGSF3	257
IGSF5	753
IGSF6	646
IGSF8	401
IGSF9	119
IGSF9B	847
IHH	451
IK	33
IKBIP	922
IKBKB	343
IKBKE	228
IKBKG	289
IKBKGP1	32
IKZF1	718
IKZF2	139
IKZF3	330
IKZF4	15
IKZF5	555
IL10	550
IL10RA	1120
IL10RB	102
IL10RB-DT	284
IL11	126
IL11RA	58
IL12A	612
IL12A-AS1	317
IL12B	705
IL12RB1	185
IL12RB2	83
IL13	211
IL13RA1	951
IL13RA2	712
IL15	1466
IL15RA	88
IL16	410
IL17A	356
IL17B	80
IL17C	218
IL17D	333
IL17F	423
IL17RA	151
IL17RB	3531
IL17RC	24
IL17RD	1323
IL17RE	25
IL17REL	498
IL18	98
IL18BP	106
IL18R1	24
IL18RAP	634
IL19	312
IL1A	281
IL1B	622
IL1F10	166
IL1R1	353
IL1R1-AS1	1326
IL1R2	147
IL1RAP	916
IL1RAPL1	3431
IL1RAPL2	3161
IL1RL1	555
IL1RL2	570
IL1RN	270
IL2	897
IL20	531
IL20RA	446
IL20RB	2395
IL20RB-AS1	1799
IL21	774
IL21-AS1	632
IL21R	448
IL21R-AS1	962
IL22	445
IL22RA1	931
IL22RA2	329
IL23A	215
IL23R	479
IL24	84
IL25	180
IL26	313
IL27	57
IL27RA	196
IL2RA	94
IL2RB	530
IL2RG	476
IL3	286
IL31	454
IL31RA	154
IL32	76
IL33	80
IL34	47
IL36A	326
IL36B	783
IL36G	224
IL36RN	269
IL37	349
IL3RA	91
IL4	165
IL4I1	17
IL4R	1010
IL5	155
IL5RA	271
IL6	636
IL6-AS1	721
IL6R	151
IL6R-AS1	52
IL6RP1	1092
IL6ST	239
IL6STP1	6
IL7	2039
IL7R	1095
IL9	593
IL9R	279
IL9RP2	378
IL9RP3	29
IL9RP4	86
ILDR1	262
ILDR2	586
ILF2	42
ILF2P1	803
ILF2P2	498
ILF3	95
ILF3-DT	200
ILK	105
ILKAP	157
ILRUN	247
ILVBL	612
IMMP1L	267
IMMP1LP1	38
IMMP1LP2	231
IMMP1LP3	195
IMMP2L	1524
IMMT	671
IMMTP1	71
IMP3	64
IMP3P1	734
IMP3P2	20
IMP4	247
IMPA1	57
IMPA1P1	250
IMPA2	204
IMPACT	223
IMPAD1	1017
IMPDH1	93
IMPDH1P10	34
IMPDH1P11	1550
IMPDH1P3	798
IMPDH1P4	2738
IMPDH1P5	174
IMPDH1P6	162
IMPDH1P8	223
IMPDH2	47
IMPG1	900
IMPG2	670
INA	294
INAFM1	75
INAFM2	119
INAVA	560
INCA1	39
INCENP	386
INE1	131
INE2	433
INF2	69
ING1	946
ING2	33
ING3	703
ING4	51
ING5	109
INGX	153
INHA	120
INHBA	3560
INHBA-AS1	2177
INHBB	1153
INHBC	51
INHBE	143
INHCAP	72
INIP	211
INKA1	257
INKA2	253
INKA2-AS1	261
INMT	681
INMT-MINDY4	565
INO80	223
INO80-AS1	65
INO80B	106
INO80C	574
INO80D	976
INO80E	230
INPP1	603
INPP4A	124
INPP4B	1922
INPP5A	1843
INPP5B	95
INPP5D	487
INPP5E	48
INPP5F	150
INPP5J	209
INPP5K	68
INPPL1	244
INS	329
INSC	1812
INSIG1	489
INSIG2	3608
INS-IGF2	55
INSL3	723
INSL4	375
INSL5	643
INSL6	71
INSM1	583
INSM2	445
INSR	374
INSRR	824
INSYN1	751
INSYN1-AS1	864
INSYN2A	980
INSYN2B	1071
INTS1	37
INTS10	741
INTS11	19
INTS12	186
INTS13	603
INTS14	93
INTS2	455
INTS3	32
INTS4	100
INTS4P1	193
INTS4P2	43
INTS5	23
INTS6	93
INTS6-AS1	91
INTS6L	665
INTS6L-AS1	528
INTS6P1	478
INTS7	233
INTS8	92
INTS9	140
INTS9-AS1	236
INTU	508
INVS	213
IP6K1	61
IP6K2	104
IP6K3	246
IPCEF1	1022
IPMK	411
IPMKP1	560
IPO11	1756
IPO13	15
IPO4	46
IPO5	434
IPO5P1	67
IPO7	434
IPO7P1	342
IPO7P2	1279
IPO8	670
IPO8P1	754
IPO9	34
IPO9-AS1	190
IPP	277
IPPK	31
IPPKP1	88
IQANK1	92
IQCA1	1440
IQCA1-AS1	755
IQCA1L	142
IQCB1	274
IQCB2P	171
IQCC	28
IQCD	102
IQCE	120
IQCF1	195
IQCF2	113
IQCF3	90
IQCF4P	247
IQCF5	605
IQCF5-AS1	360
IQCF6	752
IQCG	89
IQCH	31
IQCH-AS1	176
IQCJ	40
IQCJ-SCHIP1	513
IQCJ-SCHIP1-AS1	124
IQCK	1665
IQCM	710
IQCN	73
IQGAP1	67
IQGAP2	149
IQGAP3	162
IQSEC1	1052
IQSEC2	170
IQSEC3	424
IQSEC3P1	211
IQUB	586
IRAIN	1348
IRAK1	127
IRAK1BP1	2219
IRAK2	53
IRAK3	272
IRAK4	1536
IREB2	279
IRF1	131
IRF1-AS1	143
IRF2	199
IRF2BP1	160
IRF2BP2	151
IRF2BPL	83
IRF3	76
IRF4	1329
IRF5	450
IRF5P1	223
IRF6	774
IRF7	73
IRF8	610
IRF9	27
IRGC	424
IRGM	328
IRGQ	68
IRS1	394
IRS2	1912
IRS3P	147
IRS4	2454
IRX1	2777
IRX1P1	500
IRX2	182
IRX3	690
IRX4	555
IRX4-AS1	705
IRX5	442
IRX6	1487
ISCA1	85
ISCA1P1	1143
ISCA1P2	1127
ISCA1P3	1987
ISCA1P4	645
ISCA1P6	528
ISCA2	182
ISCA2P1	356
ISCU	301
ISCUP1	226
ISG15	373
ISG20	909
ISG20L2	20
ISL1	894
ISL2	349
ISLR	1221
ISLR2	197
ISM1	819
ISM1-AS1	662
ISM2	139
ISOC1	1244
ISOC2	417
IST1	173
ISX	2529
ISY1	66
ISYNA1	198
ITCH	394
ITCH-AS1	43
ITCH-IT1	116
ITFG1	73
ITFG1-AS1	322
ITFG2	49
ITFG2-AS1	188
ITGA1	1683
ITGA10	113
ITGA11	173
ITGA2	227
ITGA2B	43
ITGA3	289
ITGA4	1309
ITGA5	315
ITGA6	717
ITGA6-AS1	320
ITGA7	43
ITGA8	833
ITGA9	283
ITGA9-AS1	479
ITGAD	269
ITGAE	161
ITGAL	15
ITGAM	317
ITGAV	471
ITGAX	508
ITGB1	45
ITGB1BP1	226
ITGB1BP2	224
ITGB1-DT	465
ITGB2	184
ITGB2-AS1	744
ITGB3	263
ITGB3BP	352
ITGB4	234
ITGB5	250
ITGB5-AS1	443
ITGB6	460
ITGB7	104
ITGB8	703
ITGBL1	1602
ITIH1	216
ITIH2	389
ITIH3	277
ITIH4	226
ITIH4-AS1	435
ITIH5	468
ITIH6	1492
ITK	667
ITLN1	539
ITLN2	227
ITM2A	813
ITM2B	306
ITM2BP1	156
ITM2C	319
ITPA	163
ITPK1	249
ITPK1-AS1	218
ITPKA	360
ITPKB	918
ITPKB-AS1	590
ITPKB-IT1	293
ITPKC	112
ITPR1	525
ITPR1-DT	485
ITPR2	185
ITPR3	226
ITPRID1	1158
ITPRID2	778
ITPRIP	154
ITPRIP-AS1	753
ITPRIPL1	394
ITPRIPL2	129
ITSN1	343
ITSN2	580
IVD	133
IVL	298
IVNS1ABP	83
IWS1	263
IYD	1298
IZUMO1	243
IZUMO1R	853
IZUMO2	600
IZUMO3	1997
IZUMO4	137
JADE1	118
JADE2	113
JADE3	521
JADRR	555
JAG1	226
JAG2	177
JAGN1	47
JAK1	729
JAK2	282
JAK3	146
JAKMIP1	1485
JAKMIP2	1137
JAKMIP2-AS1	879
JAKMIP3	483
JAM2	263
JAM3	265
JAML	194
JARID2	309
JARID2-AS1	81
JAZF1	391
JAZF1-AS1	3186
JCAD	1075
JCADP1	380
JCHAIN	1851
JCHAINP1	710
JDP2	417
JHY	684
JKAMP	1157
JKAMPP1	2304
JMJD1C	144
JMJD1C-AS1	53
JMJD4	131
JMJD6	18
JMJD7	99
JMJD7-PLA2G4B	205
JMJD8	20
JMY	420
JOSD1	40
JOSD2	96
JPH1	1086
JPH2	1655
JPH3	259
JPH4	600
JPT1	20
JPT2	72
JPX	260
JRK	174
JRKL	80
JRKL-AS1	515
JSRP1	135
JTB	15
JTBP1	191
JUN	242
JUNB	7
JUND	20
JUP	132
KAAG1	800
KALRN	842
KANK1	805
KANK1P1	864
KANK2	150
KANK3	37
KANK4	303
KANSL1	241
KANSL1-AS1	161
KANSL1L	1079
KANSL1L-AS1	20
KANSL2	296
KANSL3	393
KANTR	463
KARS1	56
KARS1P1	55
KARS1P2	163
KARS1P3	48
KAT14	32
KAT2A	52
KAT2B	522
KAT5	74
KAT6A	553
KAT6B	286
KAT7	214
KAT8	7
KATNA1	50
KATNAL1	17
KATNAL2	113
KATNB1	62
KATNBL1	228
KATNBL1P1	634
KATNBL1P2	259
KATNBL1P3	130
KATNBL1P4	168
KATNBL1P5	117
KATNBL1P6	798
KAZALD1	687
KAZN	870
KAZN-AS1	1486
KBTBD11	124
KBTBD11-OT1	413
KBTBD12	674
KBTBD13	283
KBTBD2	229
KBTBD3	121
KBTBD4	122
KBTBD6	102
KBTBD7	45
KBTBD8	1521
KC877373.1	336
KC877392.1	709
KC877982.1	472
KCMF1	392
KCNA1	269
KCNA10	989
KCNA2	146
KCNA3	457
KCNA4	575
KCNA5	563
KCNA6	511
KCNA7	172
KCNAB1	125
KCNAB1-AS1	1019
KCNAB1-AS2	938
KCNAB2	2452
KCNAB3	19
KCNB1	402
KCNB2	289
KCNC1	611
KCNC2	868
KCNC3	115
KCNC4	766
KCND1	242
KCND2	570
KCND3	1023
KCND3-AS1	933
KCND3-IT1	1354
KCNE1	281
KCNE1B	385
KCNE2	300
KCNE3	338
KCNE4	1317
KCNE5	2532
KCNF1	1536
KCNG1	1122
KCNG2	257
KCNG3	771
KCNG4	213
KCNH1	918
KCNH1-IT1	257
KCNH2	1010
KCNH3	292
KCNH4	52
KCNH5	669
KCNH6	147
KCNH7	966
KCNH7-AS1	2059
KCNH8	2036
KCNIP1	730
KCNIP1-AS1	1890
KCNIP1-OT1	2337
KCNIP2	90
KCNIP2-AS1	466
KCNIP3	247
KCNIP4	2033
KCNIP4-IT1	883
KCNJ1	331
KCNJ10	219
KCNJ11	326
KCNJ12	386
KCNJ13	1649
KCNJ14	36
KCNJ15	1278
KCNJ16	208
KCNJ18	878
KCNJ2	476
KCNJ2-AS1	1516
KCNJ3	1315
KCNJ4	287
KCNJ5	1370
KCNJ6	879
KCNJ6-AS1	2450
KCNJ8	249
KCNJ9	303
KCNK1	1610
KCNK10	598
KCNK12	800
KCNK13	628
KCNK15	1095
KCNK15-AS1	725
KCNK16	990
KCNK17	556
KCNK18	2197
KCNK2	524
KCNK3	878
KCNK4	73
KCNK5	524
KCNK6	126
KCNK7	56
KCNK9	1324
KCNMA1	825
KCNMA1-AS1	762
KCNMA1-AS2	1475
KCNMA1-AS3	1387
KCNMB1	889
KCNMB2	1040
KCNMB2-AS1	331
KCNMB3	421
KCNMB3P1	191
KCNMB4	338
KCNN1	107
KCNN2	1600
KCNN3	594
KCNN4	210
KCNQ1	348
KCNQ1-AS1	684
KCNQ1DN	448
KCNQ1OT1	1343
KCNQ2	1196
KCNQ2-AS1	818
KCNQ3	419
KCNQ4	193
KCNQ5	486
KCNQ5-AS1	604
KCNQ5-IT1	936
KCNRG	43
KCNS1	262
KCNS2	1032
KCNS3	1524
KCNT1	573
KCNT2	1209
KCNU1	291
KCNV1	523
KCNV2	1265
KCP	83
KCTD1	433
KCTD10	94
KCTD10P1	1850
KCTD11	47
KCTD12	1541
KCTD13	393
KCTD14	95
KCTD15	2236
KCTD16	139
KCTD17	291
KCTD18	497
KCTD19	270
KCTD2	20
KCTD20	106
KCTD21	222
KCTD21-AS1	101
KCTD3	1326
KCTD4	181
KCTD5	216
KCTD6	165
KCTD7	78
KCTD8	1299
KCTD9	1270
KCTD9P1	214
KCTD9P2	4578
KCTD9P3	79
KCTD9P4	59
KCTD9P5	157
KCTD9P6	1409
KDELC1P1	241
KDELR1	456
KDELR2	69
KDELR3	655
KDF1	204
KDM1A	798
KDM1B	866
KDM2A	88
KDM2B	546
KDM2B-DT	238
KDM3A	534
KDM3B	73
KDM4A	286
KDM4A-AS1	325
KDM4B	123
KDM4C	177
KDM4D	140
KDM4E	56
KDM4F	84
KDM5A	487
KDM5B	1456
KDM5C	698
KDM5C-IT1	46
KDM5D	1
KDM5DP1	2
KDM6A	1652
KDM6B	426
KDM7A	393
KDM7A-DT	1617
KDM8	810
KDR	478
KDSR	173
KEAP1	189
KEL	480
KERA	216
KF455155.1	33
KF456110.1	337
KF456478.1	184
KF459542.1	40
KHDC1	214
KHDC1L	186
KHDC1P1	200
KHDC3L	227
KHDC4	29
KHDRBS1	100
KHDRBS2	724
KHDRBS2-OT1	2834
KHDRBS3	5131
KHK	79
KHNYN	474
KHSRP	47
KHSRPP1	151
KIAA0040	242
KIAA0087	860
KIAA0100	27
KIAA0232	153
KIAA0319	169
KIAA0319L	261
KIAA0355	106
KIAA0408	259
KIAA0513	273
KIAA0556	651
KIAA0586	58
KIAA0753	679
KIAA0825	331
KIAA0895	479
KIAA0895L	73
KIAA0895LP1	909
KIAA0930	95
KIAA1109	1067
KIAA1143	237
KIAA1143P1	389
KIAA1143P2	285
KIAA1191	118
KIAA1210	1227
KIAA1211L	594
KIAA1217	581
KIAA1257	518
KIAA1324	159
KIAA1324L	303
KIAA1328	1860
KIAA1522	159
KIAA1549	542
KIAA1549L	387
KIAA1586	118
KIAA1614	35
KIAA1614-AS1	36
KIAA1671	1092
KIAA1671-AS1	356
KIAA1755	780
KIAA1841	59
KIAA1958	265
KIAA2012	265
KIAA2012-AS1	328
KIAA2013	56
KIAA2026	51
KIDINS220	625
KIF11	136
KIF12	1145
KIF13A	365
KIF13B	290
KIF14	333
KIF15	160
KIF16B	106
KIF17	107
KIF18A	161
KIF18B	318
KIF18BP1	334
KIF19	583
KIF1A	471
KIF1B	109
KIF1C	77
KIF1C-AS1	95
KIF20A	434
KIF20B	190
KIF21A	432
KIF21B	619
KIF22	60
KIF23	24
KIF24	92
KIF25	901
KIF25-AS1	713
KIF26A	713
KIF26B	966
KIF26B-AS1	580
KIF27	154
KIF28P	85
KIF2A	405
KIF2B	1209
KIF2C	232
KIF3A	417
KIF3AP1	710
KIF3B	150
KIF3C	177
KIF4A	210
KIF4B	1150
KIF4CP	3456
KIF5A	123
KIF5B	63
KIF5C	1483
KIF5C-AS1	258
KIF6	438
KIF7	100
KIF9	270
KIF9-AS1	256
KIFAP3	142
KIFBP	135
KIFC1	64
KIFC2	84
KIFC3	724
KIN	492
KIR2DL1	97
KIR2DL3	170
KIR2DL4	134
KIR2DP1	103
KIR2DS4	160
KIR3DL1	174
KIR3DL2	120
KIR3DL3	77
KIR3DP1	133
KIR3DX1	96
KIRREL1	653
KIRREL1-IT1	373
KIRREL2	627
KIRREL3	2042
KIRREL3-AS1	1304
KIRREL3-AS2	1410
KIRREL3-AS3	969
KISS1	452
KISS1R	52
KIT	1282
KITLG	1749
KIZ	81
KIZ-AS1	175
KL	1032
KLB	23
KLC1	55
KLC2	151
KLC3	272
KLC4	217
KLF1	51
KLF10	100
KLF11	135
KLF12	1164
KLF13	1432
KLF14	374
KLF15	218
KLF16	52
KLF17	851
KLF17P1	399
KLF18	91
KLF2	356
KLF2P1	118
KLF2P2	56
KLF2P3	231
KLF2P4	92
KLF3	419
KLF3-AS1	600
KLF3P1	41
KLF3P2	542
KLF4	79
KLF4P1	69
KLF5	312
KLF6	1012
KLF7	779
KLF7-IT1	75
KLF7P1	202
KLF8	1419
KLF8P1	470
KLF9	241
KLHDC1	46
KLHDC10	52
KLHDC2	72
KLHDC3	54
KLHDC4	11
KLHDC7A	592
KLHDC7B	76
KLHDC8A	471
KLHDC8B	235
KLHDC9	71
KLHL1	810
KLHL10	127
KLHL11	110
KLHL12	53
KLHL13	2082
KLHL14	2051
KLHL15	608
KLHL17	411
KLHL18	307
KLHL2	420
KLHL20	222
KLHL21	231
KLHL22	106
KLHL23	21
KLHL24	206
KLHL25	701
KLHL26	323
KLHL28	39
KLHL29	340
KLHL2P1	158
KLHL3	2475
KLHL30	323
KLHL30-AS1	798
KLHL31	644
KLHL32	2404
KLHL33	127
KLHL34	1629
KLHL35	247
KLHL36	294
KLHL38	736
KLHL4	3341
KLHL40	131
KLHL41	117
KLHL42	665
KLHL5	118
KLHL6	476
KLHL6-AS1	429
KLHL7	443
KLHL7-DT	344
KLHL8	247
KLHL9	104
KLK1	314
KLK10	126
KLK11	209
KLK12	182
KLK13	273
KLK14	285
KLK15	482
KLK2	662
KLK3	528
KLK4	390
KLK5	124
KLK6	339
KLK7	137
KLK8	183
KLK9	227
KLKB1	279
KLKP1	600
KLLN	103
KLRA1P	51
KLRB1	141
KLRC1	305
KLRC2	63
KLRC3	14
KLRC4	59
KLRC4-KLRK1	57
KLRD1	132
KLRF1	448
KLRF2	234
KLRG1	93
KLRG2	846
KLRK1	49
KMO	420
KMT2A	32
KMT2B	100
KMT2C	265
KMT2D	55
KMT2E	141
KMT2E-AS1	138
KMT5A	77
KMT5AP1	291
KMT5B	313
KMT5C	498
KNCN	209
KNDC1	1318
KNG1	94
KNL1	123
KNOP1	131
KNOP1P1	491
KNOP1P2	184
KNOP1P3	1355
KNOP1P4	1062
KNOP1P5	1244
KNSTRN	73
KNTC1	22
KPNA1	100
KPNA2	128
KPNA2P1	342
KPNA2P2	214
KPNA2P3	3
KPNA3	540
KPNA4	411
KPNA5	687
KPNA6	16
KPNA7	736
KPNB1	110
KPRP	155
KPTN	526
KRAS	513
KRASP1	438
KRBA1	1128
KRBA2	172
KRBOX1	166
KRBOX1-AS1	549
KRBOX4	2163
KRCC1	81
KREMEN1	366
KREMEN2	227
KRI1	6
KRIT1	205
KRR1	405
KRR1P1	321
KRT1	417
KRT10	150
KRT12	285
KRT125P	173
KRT126P	309
KRT127P	217
KRT128P	287
KRT13	133
KRT14	167
KRT15	181
KRT16	123
KRT16P1	3
KRT16P2	47
KRT16P3	12
KRT16P4	31
KRT16P5	10
KRT16P6	94
KRT17	271
KRT17P1	38
KRT17P2	9
KRT17P3	78
KRT17P4	121
KRT17P5	18
KRT17P6	7
KRT17P7	7
KRT17P8	156
KRT18	470
KRT18P1	217
KRT18P10	44
KRT18P11	1689
KRT18P12	826
KRT18P13	264
KRT18P14	621
KRT18P15	549
KRT18P16	2132
KRT18P17	378
KRT18P18	185
KRT18P19	311
KRT18P2	217
KRT18P20	565
KRT18P21	1446
KRT18P22	36
KRT18P23	817
KRT18P24	1680
KRT18P25	109
KRT18P26	451
KRT18P27	869
KRT18P28	28
KRT18P29	1516
KRT18P3	1110
KRT18P31	142
KRT18P32	246
KRT18P33	738
KRT18P34	33
KRT18P35	204
KRT18P36	323
KRT18P37	122
KRT18P38	1075
KRT18P39	174
KRT18P4	26
KRT18P40	122
KRT18P41	1252
KRT18P42	419
KRT18P43	191
KRT18P44	3532
KRT18P45	228
KRT18P46	1448
KRT18P47	295
KRT18P48	613
KRT18P49	1591
KRT18P5	19
KRT18P50	1676
KRT18P51	691
KRT18P52	76
KRT18P53	2419
KRT18P54	582
KRT18P55	56
KRT18P56	802
KRT18P57	34
KRT18P58	115
KRT18P59	385
KRT18P6	472
KRT18P60	731
KRT18P61	127
KRT18P62	117
KRT18P63	1790
KRT18P64	13
KRT18P65	65
KRT18P66	572
KRT18P67	127
KRT18P68	2119
KRT18P7	65
KRT18P8	254
KRT18P9	2279
KRT19	271
KRT19P1	1746
KRT19P2	1823
KRT19P3	678
KRT19P4	356
KRT19P6	1910
KRT2	279
KRT20	307
KRT222	149
KRT223P	171
KRT23	310
KRT24	181
KRT25	200
